Sorting Algorithm, Objects, Reads, Writes, Time
Heap Sort, 1000, 46247, 12559, 0.0539474
Heap Sort, 1100, 51855, 14023, 0.107899
Heap Sort, 1200, 57215, 15435, 0.156855
Heap Sort, 1300, 62856, 16900, 0.0649398
Heap Sort, 1400, 68383, 18315, 0.0789261
Heap Sort, 1500, 74021, 19777, 0.104894
Heap Sort, 1600, 79945, 21333, 0.0889167
Heap Sort, 1700, 85380, 22708, 0.101905
Heap Sort, 1800, 91137, 24205, 0.112826
Heap Sort, 1900, 96785, 25633, 0.0999102
Heap Sort, 2000, 102494, 27106, 0.120375
Heap Sort, 2100, 108344, 28636, 0.139654
Heap Sort, 2200, 114381, 30153, 0.125079
Heap Sort, 2300, 120420, 31740, 0.130229
Heap Sort, 2400, 126531, 33275, 0.155222
Heap Sort, 2500, 132556, 34808, 0.15059
Heap Sort, 2600, 138516, 36328, 0.171843
Heap Sort, 2700, 144501, 37829, 0.190823
Heap Sort, 2800, 150701, 39437, 0.203811
Heap Sort, 2900, 157011, 41015, 0.189823
Heap Sort, 3000, 163096, 42556, 0.179579
Heap Sort, 3100, 169191, 44123, 0.214813
Heap Sort, 3200, 175382, 45690, 0.194845
Heap Sort, 3300, 181203, 47147, 0.235265
Heap Sort, 3400, 187553, 48789, 0.224031
Heap Sort, 3500, 193761, 50353, 0.220793
Heap Sort, 3600, 199983, 51879, 0.250766
Heap Sort, 3700, 206555, 53583, 0.239776
Heap Sort, 3800, 212453, 55085, 0.229329
Heap Sort, 3900, 218993, 56713, 0.305048
Heap Sort, 4000, 225017, 58273, 0.304966
Heap Sort, 4100, 231364, 59832, 0.306758
Heap Sort, 4200, 237881, 61481, 0.258757
Heap Sort, 4300, 244125, 63057, 0.258763
Heap Sort, 4400, 250626, 64706, 0.252765
Heap Sort, 4500, 256854, 66282, 0.284082
Heap Sort, 4600, 263358, 67878, 0.314777
Heap Sort, 4700, 270185, 69625, 0.340306
Heap Sort, 4800, 276535, 71191, 0.306662
Heap Sort, 4900, 282792, 72748, 0.347682
Heap Sort, 5000, 290254, 74626, 0.338027
Heap Sort, 5100, 296235, 76115, 0.45519
Heap Sort, 5200, 302843, 77763, 0.355092
Heap Sort, 5300, 309310, 79374, 0.344503
Heap Sort, 5400, 315803, 80955, 0.39763
Heap Sort, 5500, 322814, 82746, 0.454966
Heap Sort, 5600, 329371, 84419, 0.41502
Heap Sort, 5700, 335890, 86050, 0.401547
Heap Sort, 5800, 342681, 87773, 0.392634
Heap Sort, 5900, 349361, 89413, 0.39982
Heap Sort, 6000, 356006, 91106, 0.45493
Heap Sort, 6100, 362630, 92734, 0.415192
Heap Sort, 6200, 368861, 94221, 0.420816
Heap Sort, 6300, 375911, 96039, 0.49254
Heap Sort, 6400, 382304, 97576, 0.434629
Heap Sort, 6500, 389193, 99365, 0.531024
Heap Sort, 6600, 395497, 100921, 0.495541
Heap Sort, 6700, 402284, 102584, 0.412621
Heap Sort, 6800, 408760, 104220, 0.433664
Heap Sort, 6900, 415817, 105957, 0.4283
Heap Sort, 7000, 422430, 107626, 0.498369
Heap Sort, 7100, 429086, 109254, 0.483555
Heap Sort, 7200, 435981, 111005, 0.483001
Heap Sort, 7300, 442831, 112679, 0.517049
Heap Sort, 7400, 449308, 114352, 0.500531
Heap Sort, 7500, 456122, 116038, 0.581782
Heap Sort, 7600, 462613, 117673, 0.584226
Heap Sort, 7700, 469426, 119354, 0.593442
Heap Sort, 7800, 476264, 121096, 0.640633
Heap Sort, 7900, 483045, 122709, 0.594761
Heap Sort, 8000, 489905, 124437, 0.613784
Heap Sort, 8100, 496366, 126078, 0.624302
Heap Sort, 8200, 503460, 127864, 0.630117
Heap Sort, 8300, 510591, 129627, 0.619625
Heap Sort, 8400, 517308, 131272, 0.63366
Heap Sort, 8500, 524399, 133059, 0.680205
Heap Sort, 8600, 531585, 134841, 0.57509
Heap Sort, 8700, 537748, 136336, 0.610904
Heap Sort, 8800, 544900, 138056, 0.635233
Heap Sort, 8900, 551763, 139739, 0.60377
Heap Sort, 9000, 559045, 141569, 0.61795
Heap Sort, 9100, 565867, 143275, 0.648982
Heap Sort, 9200, 573197, 145077, 0.800313
Heap Sort, 9300, 580413, 146841, 0.724549
Heap Sort, 9400, 587351, 148655, 0.74496
Heap Sort, 9500, 594367, 150359, 0.598062
Heap Sort, 9600, 601063, 151979, 0.589912
Heap Sort, 9700, 608540, 153920, 0.598324
Heap Sort, 9800, 615462, 155590, 0.622944
Heap Sort, 9900, 622063, 157151, 0.694657
Heap Sort, 10000, 629866, 159134, 0.718989
Heap Sort, 10100, 636963, 160859, 0.765125
Heap Sort, 10200, 643991, 162615, 0.729642
Heap Sort, 10300, 650826, 164286, 0.72599
Heap Sort, 10400, 658182, 166106, 0.700637
Heap Sort, 10500, 665085, 167845, 0.731267
Heap Sort, 10600, 671586, 169434, 0.710853
Heap Sort, 10700, 679189, 171309, 0.761126
Heap Sort, 10800, 685793, 172989, 0.668919
